model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_80,7,0.8,512.3087484600946,496.785545307232,527.5185842943359,884.0,371.69125153990535,0.336068039367003,False,False,False,long_post_transition,-65.84759592956135,65.84759592956135,0.0595367051804352,0.4944827703742622,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,8,0.8,452.6462511270694,427.150007536051,477.06784513550974,883.0,430.3537488729306,0.3901665900933188,False,False,False,long_post_transition,91.49003574974267,91.49003574974267,0.0829465419308637,0.4912074834946672,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,9,0.8,607.7858756216784,584.261676797539,630.8485534161284,885.0,277.21412437832157,0.2506456820780484,False,False,False,moderate_post_transition,-143.98067295577124,143.98067295577124,0.1301814402855074,0.4508328878861113,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,10,0.8,442.624266587758,420.47965173088585,464.90104889940767,885.0,442.375733412242,0.399978059143076,False,False,False,long_post_transition,-6.716849562638288,6.716849562638288,0.0060731008703781,0.4183973630428966,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,11,0.8,928.8300985699102,880.3488067382998,974.8137717199372,883.0,-45.830098569910206,-0.0414377021427759,True,False,True,transition_not_confirmed,-597.5508683383829,597.5508683383829,0.5402810744470008,0.292829072897744,1.0,extrapolation,identified,boundary_sensitive,True,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,12,0.8,502.18059425108055,462.3267053307612,541.3941269610359,884.0,381.81940574891945,0.3452255024854606,False,False,False,long_post_transition,-105.30590114846376,105.30590114846376,0.0952132921776345,0.3771832343226013,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,13,0.8,435.9650631183242,410.67108980656496,463.0170693088105,890.0,454.0349368816758,0.4083047993540249,False,False,False,long_post_transition,-12.191965774068876,12.191965774068876,0.0109639979982633,0.4330185538027272,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,14,0.8,351.7850184462518,324.7975674246435,376.2823776163491,889.0,537.2149815537482,0.4839774608592326,False,False,False,long_post_transition,36.530465534639745,36.530465534639745,0.0329103293104862,0.338799573951049,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,1,0.75,556.123287169232,533.0397699937452,577.6560130279138,834.0,277.87671283076804,0.2501140529529865,False,False,False,moderate_post_transition,55.47845597949561,55.47845597949561,0.0499356039419402,0.75934861322686,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,2,0.75,579.1318741860437,559.9238690887914,598.1479785473354,830.0,250.8681258139563,0.2268247068842281,False,False,False,moderate_post_transition,98.22623818463283,98.22623818463283,0.0888121502573534,0.8642687447219329,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
